Faculty_ID,Faculty_Name,Publications_Count,Conference_Presentations,Research_Funding_Amount,Patents_Filed,Patents_Granted,Journal_Impact_Factor_Avg,Year,Department,Research_Grants_Received
FAC001,Aaron Gerrietz,3,9.11,Euro,3,0,9.4,2002,Computer Science,1156360
FAC002,Abra Deave,6,17.86,Euro,2,0,4.5,2003,Civil,1320109
FAC003,Ada Allawy,5,15.03,Hryvnia,3,2,9.8,2004,Electronics,962730
FAC004,Adam Landa,8,25.06,Euro,2,1,2.2,2005,Electronics,2013807
FAC005,Adelaide Haseman,12,3.71,Hryvnia,3,1,2,2006,Computer Science,184162
FAC006,Adella Dallmann,7,12.46,Peso,1,0,3.7,2007,Computer Science,726469
FAC007,Adi Selly,14,5.51,Euro,0,0,3.8,2008,Mechanical Engineering,1598675
FAC008,Adora Neenan,9,1,Yuan Renminbi,1,2,8.1,2009,Civil,1264533
FAC009,Ailina Bourtoumieux,20,8.86,Lek,3,1,1.2,2010,Mechanical Engineering,476623
FAC010,Alanson Tungate,18,10.14,Yuan Renminbi,1,2,7.3,2011,Electronics,1644730
FAC011,Alasdair Licquorish,25,8.09,Rupiah,2,2,4.6,2012,Electronics,1176047
FAC012,Alaster Denniston,21,17.09,Pula,1,0,6.3,2013,Civil,556974
FAC013,Aleen Fernanando,35,20.94,Rupiah,4,0,8.4,2014,Computer Science,762850
FAC014,Aleta Wadhams,29,9.63,Rand,1,2,4.6,2015,Electronics,231476
FAC015,Alex Clougher,32,10.66,Yuan Renminbi,3,1,2.1,2016,Mechanical Engineering,1896001
FAC016,Alexander Gaukrodge,41,16.31,Baht,3,2,9,2017,Mechanical Engineering,2045060
FAC017,Alexandro Tetsall,38,18.11,Yuan Renminbi,1,0,6.7,2018,Computer Science,1360275
FAC018,Alf Fruish,75,11.69,Lek,2,0,2.8,2019,Electronics,547211
FAC019,Alic Naile,82,15.54,Euro,3,2,2.7,2020,Electronics,1888719
FAC020,Allyn Coniam,50,19.4,Won,2,2,9.7,2021,Computer Science,485124
FAC021,Aloysia Jery,62,1,Ruble,1,1,3,2022,Computer Science,786880
FAC022,Alta Conre,59,13.23,Real,5,2,7.6,2023,Computer Science,1397610
FAC023,Alverta Killgus,70,4.74,Peso,0,2,7.6,2024,Computer Science,1881649
FAC024,Amanda Lies,5,6.54,Pound,2,2,9.2,2002,Civil,440619
FAC025,Anders Lessmare,9,14.51,Peso,5,2,6,2003,Electronics,1409854
FAC026,Andrei Maddinon,6,12.71,Dram,4,1,4.8,2004,Computer Science,1630625
FAC027,Andrey Elders,12,3.97,Ruble,2,0,3.3,2005,Computer Science,1527941
FAC028,Anett Goldsmith,15,8.6,Krona,5,0,9.5,2006,Computer Science,1456963
FAC029,Anett Sanzio,10,20.69,Euro,0,1,1.5,2007,Computer Science,1407640
FAC030,Angeline Dacca,18,14,Hryvnia,3,2,4.8,2008,Mechanical Engineering,2020713
FAC031,Annamaria Danet,11,0,Yuan Renminbi,1,2,6.8,2009,Computer Science,1441161
FAC032,Anneliese Duckers,23,6.8,Rupiah,1,0,3.9,2010,Mechanical Engineering,832720
FAC033,Annette Sprason,19,23.26,Dollar,4,0,4.4,2011,Computer Science,1095362
FAC034,Antin Pettican,28,11.94,Yuan Renminbi,5,0,0.1,2012,Mechanical Engineering,1248581
FAC035,Anton Vasishchev,25,23.51,Krona,5,1,5.3,2013,Electronics,794246
FAC036,Anya Chipperfield,40,1.66,Pound,4,0,8.9,2014,Mechanical Engineering,1374703
