Faculty_ID,Faculty_Name,Department,Courses_Taught,Class_Size,Student_Feedback_Score,Course_Completion_Rate,Teaching_Hours_Per_Week,Semester,Average_Student_Marks,Pass_Percentage
FAC120,Cris Rubrow,Computer Science,4,46,3.79,85.18,13,1,100,99.7
FAC011,Alasdair Licquorish,Computer Science,5,48,4.82,68.89,20,1,100,90.31
FAC164,Ellen Swinglehurst,Mechanical Engineering,1,31,3.6,78.22,5,1,96.73,88.77
FAC109,Cindie Klosterman,Computer Science,1,42,4.84,84.4,15,1,100,93.84
FAC043,Arne Vitte,Mechanical Engineering,3,71,4.53,57.84,15,1,88.66,88.43
FAC074,Brande Guild,Civil,5,81,2.85,76.84,12,1,71.89,66.53
FAC079,Brinna Fowler,Civil,1,51,4.27,68.9,5,1,99.9,100
FAC104,Christel Devonshire,Civil,2,58,3.89,63.72,18,1,78.99,77.8
FAC103,Chilton Assur,Mechanical Engineering,3,69,3.36,61.24,17,1,86.04,76.73
FAC157,Edgar Gantz,Civil,5,66,3.53,50,12,1,100,99.15
FAC134,Delora Cudbertson,Mechanical Engineering,5,62,3.64,82.89,9,1,69.25,65.47
FAC039,Arlie Gilbert,Civil,1,85,4.37,84.34,5,1,67.65,67.63
FAC180,Fanchon Kirdsch,Electronics,5,47,4.45,50,9,1,92.32,90.99
FAC050,Bailey Goosnell,Electronics,2,83,4.07,85.15,20,1,100,90.08
FAC166,Emery Bluck,Computer Science,2,25,2.81,59.57,11,1,84.83,80.63
FAC003,Ada Allawy,Electronics,2,65,3.96,74.53,19,1,74.79,71.09
FAC182,Felizio Greenrodd,Mechanical Engineering,2,47,4.86,77.56,20,1,81.84,85.8
FAC146,Doralyn Balston,Electronics,2,72,3.69,64.21,16,1,100,100
FAC094,Catherin Tossell,Civil,1,100,3.84,89.45,10,1,80.62,74.39
FAC071,Bobbe Giggs,Electronics,4,49,2.84,85.54,11,1,67.66,68.97
FAC034,Antin Pettican,Computer Science,5,67,3.37,53.92,11,1,88.47,90.4
FAC047,Augustine Pendell,Computer Science,1,48,2.91,64.06,11,1,90.22,84.13
FAC133,Delila Loukes,Civil,3,100,3.36,67.75,19,1,81.37,81.31
FAC176,Essie Crispe,Mechanical Engineering,3,79,3.03,68.99,20,1,78.09,76.34
FAC056,Bax Grinham,Computer Science,2,54,3.09,58.63,13,1,100,100
FAC148,Dorthea Pamphilon,Computer Science,2,41,4.8,69.73,17,1,88.45,80.35
FAC172,Ermengarde Schukert,Mechanical Engineering,2,95,5,91.33,7,2,100,94.51
FAC155,Dynah Kubasek,Electronics,4,46,3.84,65.31,20,2,65.58,62.88
FAC072,Bogart Cervantes,Electronics,5,44,3.29,81.46,5,2,64.86,68.43
FAC117,Cosetta Simmank,Electronics,2,53,2.99,76.44,14,2,88.83,83.26
